"time","target.protein","efflux.DNA","efflux.mRNA","efflux.protein","drug","target.dimer","efflux.dimer","alive","generation","volume","target.protein.concentration","efflux.mRNA.concentration","efflux.protein.concentration","drug.concentration","target.dimer.concentration","efflux.dimer.concentration","fraction.bound.targets"
8.34705029649156,288,0,0,0,0,0,0,1,"1",3.0125805137723,95.5991047155023,0,0,0,0,0,0
8.43119708770527,289,0,0,0,0,0,0,1,"1",3.02040007152186,95.6826887685725,0,0,0,0,0,0
8.55196730394404,290,0,0,0,0,0,0,1,"1",3.03165843869253,95.657213985184,0,0,0,0,0,0
8.59867795154207,291,0,0,0,0,0,0,1,"1",3.03602411580838,95.8490410154457,0,0,0,0,0,0
8.69160738483066,292,0,0,0,0,0,0,1,"1",3.04472820341351,95.9034700281728,0,0,0,0,0,0
8.755042211554,293,0,0,0,0,0,0,1,"1",3.0506840520351,96.0440330766279,0,0,0,0,0,0
8.79616020835172,294,0,0,0,0,0,0,1,"1",3.05455081199795,96.2498311847356,0,0,0,0,0,0
8.83181846802743,295,0,0,0,0,0,0,1,"1",3.05790810310409,96.4711790065061,0,0,0,0,0,0
8.95311068628221,296,0,0,0,0,0,0,1,"1",3.06935563744706,96.4371793182619,0,0,0,0,0,0
9.02008042728307,297,0,0,0,0,0,0,1,"1",3.07569458048072,96.5635540943666,0,0,0,0,0,0
9.08357504548999,298,0,0,0,0,0,0,1,"1",3.08171667942061,96.6993500700482,0,0,0,0,0,0
9.15225290540439,299,0,0,0,0,0,0,1,"1",3.08824365384263,96.8187855346068,0,0,0,0,0,0
9.24736716757013,300,0,0,0,0,0,0,1,"1",3.09730591495367,96.8583692529729,0,0,0,0,0,0
9.33647486422647,301,0,0,0,0,0,0,1,"1",3.10582000991659,96.9148241169596,0,0,0,0,0,0
9.3777001536608,302,0,0,0,0,0,0,1,"1",3.10976693377251,97.1133870902791,0,0,0,0,0,0
9.37784130526398,303,0,0,0,0,0,0,1,"1",3.10978045628975,97.4345309126763,0,0,0,0,0,0
9.43192232210561,304,0,0,0,0,0,0,1,"1",3.1149658215013,97.5933661620348,0,0,0,0,0,0
9.48779760699761,305,0,0,0,0,0,0,1,"1",3.12033230518969,97.7459995182977,0,0,0,0,0,0
9.76410288852056,306,0,0,0,0,0,0,1,"1",3.14700596742224,97.2352779650589,0,0,0,0,0,0
9.80934206118275,307,0,0,0,0,0,0,1,"1",3.15139488907617,97.4171789972019,0,0,0,0,0,0
9.85873109337984,308,0,0,0,0,0,0,1,"1",3.1561934025418,97.5859083134627,0,0,0,0,0,0
