"time","target.protein","efflux.DNA","efflux.mRNA","efflux.protein","drug","target.dimer","efflux.dimer","volume","generation","target.protein.concentration","efflux.mRNA.concentration","efflux.protein.concentration","drug.concentration","target.dimer.concentration","efflux.dimer.concentration","fraction.bound.targets"
231.75,238.432845321748,0.048780487804878,0.112519191028839,10.3041706155338,3.76397014676168,21.7058265532526,8.08378810283376e-05,2.86794982842856,0,83.1370350200279,0.0392333191862328,3.59286990078894,1.31242538117345,7.56841222886591,2.81866440713264e-05,0.0834394455726386
231.975,240.267698395341,0.048780487804878,0.113386186930119,10.3834431542852,3.78639914075937,21.8709734796597,8.13791557341389e-05,2.88789799702036,0,83.1981249487489,0.0392625317954816,3.59550204508555,1.31112634333555,7.57331924542539,2.81793733082344e-05,0.083432838517198
232.2,242.101532525017,0.048780487804878,0.114226557229253,10.4633147650819,3.80898336146859,22.0371393499838,8.1924433321379e-05,2.90798491609733,0,83.2540537555231,0.0392803128368876,3.59813240679538,1.30983601062844,7.57814775035313,2.81722346178212e-05,0.0834301891258562
232.425,243.93435455582,0.048780487804878,0.115041119601572,10.5437670500793,3.83173776558464,22.2043173191815,8.24738636305193e-05,2.92821155074543,0,83.304894584451,0.0392871613296812,3.60075317898232,1.30855906384537,7.58289383618099,2.81652681854643e-05,0.0834313824546712
232.65,245.766170368697,0.048780487804878,0.115830666613652,10.624782176394,3.85467636970883,22.372501506304,8.30275820066959e-05,2.9485788727633,0,83.3507194394207,0.0392835571344579,3.60335695088152,1.3072997318523,7.58755402915075,2.81585080777865e-05,0.0834363105845971
232.875,247.596984945087,0.048780487804878,0.116595966492865,10.7063428587881,3.87781231842306,22.5416869299137,8.35857105214615e-05,2.96908786070899,0,83.3915992253472,0.0392699616726814,3.60593669202889,1.30606182785614,7.59212525443117,2.81519828454999e-05,0.0834448721223604
233.1,249.426802427426,0.048780487804878,0.117337763873333,10.7884323428839,3.90115794804887,22.7118694475747,8.41483590872623e-05,2.98973949994695,0,83.4276037868358,0.039246818619286,3.60848573699325,1.30484878301875,7.59660480385591,2.81457160694955e-05,0.0834569717383157
233.325,251.255626176041,0.048780487804878,0.11805678052064,10.8710343888569,3.92472484658056,22.8830456989603,8.47156264951162e-05,3.01053478269538,0,83.458801944513,0.0392145545699168,3.61099777067646,1.30366367767613,7.60099030593919,2.81397268625042e-05,0.083472519737727
233.55,253.083458822467,0.048780487804878,0.118753716034963,10.9541332556147,3.94852390984166,23.0552130525341,8.52876013776148e-05,3.03147470807391,0,83.4852615291214,0.0391735796834059,3.613466814168,1.3025092702655,7.60527969807231,2.81340303286922e-05,0.083491431663619
233.775,254.910302319215,0.048780487804878,0.119429248532032,11.0377136854738,3.97256539388602,23.228369555786,8.58643630968899e-05,3.05256028215159,0,83.5070494134655,0.0391242883000011,3.6158872111426,1.30138802405106,7.60947120081558,2.81286379826604e-05,0.0835136279295428
