"sample.time","num.cells","parameter.index","mutant.effect","drug.outsideConcentration.MULT","cell.type"
50,338481,"38",10,0.794328234724281,"REG-ON"
60,322870,"38",10,0.794328234724281,"REG-ON"
0,100000,"39",50,0.794328234724281,"REG-ON"
10,99962,"39",50,0.794328234724281,"REG-ON"
20,99625,"39",50,0.794328234724281,"REG-ON"
30,196269,"39",50,0.794328234724281,"REG-ON"
40,191838,"39",50,0.794328234724281,"REG-ON"
50,359899,"39",50,0.794328234724281,"REG-ON"
60,356360,"39",50,0.794328234724281,"REG-ON"
0,100000,"40",200,0.794328234724281,"REG-ON"
10,99960,"40",200,0.794328234724281,"REG-ON"
20,99707,"40",200,0.794328234724281,"REG-ON"
30,197324,"40",200,0.794328234724281,"REG-ON"
40,194357,"40",200,0.794328234724281,"REG-ON"
50,369103,"40",200,0.794328234724281,"REG-ON"
60,370334,"40",200,0.794328234724281,"REG-ON"
0,100000,"41",2,1,"REG-ON"
10,99862,"41",2,1,"REG-ON"
20,98190,"41",2,1,"REG-ON"
30,185453,"41",2,1,"REG-ON"
40,167907,"41",2,1,"REG-ON"
50,278032,"41",2,1,"REG-ON"
60,238332,"41",2,1,"REG-ON"
0,100000,"42",10,1,"REG-ON"
10,99883,"42",10,1,"REG-ON"
20,98625,"42",10,1,"REG-ON"
30,188589,"42",10,1,"REG-ON"
40,174947,"42",10,1,"REG-ON"
50,302315,"42",10,1,"REG-ON"
60,271864,"42",10,1,"REG-ON"
0,100000,"43",50,1,"REG-ON"
10,99904,"43",50,1,"REG-ON"
20,99173,"43",50,1,"REG-ON"
30,193192,"43",50,1,"REG-ON"
40,185396,"43",50,1,"REG-ON"
50,338291,"43",50,1,"REG-ON"
60,324095,"43",50,1,"REG-ON"
0,100000,"44",200,1,"REG-ON"
10,99930,"44",200,1,"REG-ON"
20,99466,"44",200,1,"REG-ON"
30,195399,"44",200,1,"REG-ON"
40,189959,"44",200,1,"REG-ON"
50,354045,"44",200,1,"REG-ON"
60,347894,"44",200,1,"REG-ON"
0,100000,"45",2,1.25892541179417,"REG-ON"
10,99776,"45",2,1.25892541179417,"REG-ON"
20,96719,"45",2,1.25892541179417,"REG-ON"
30,174021,"45",2,1.25892541179417,"REG-ON"
40,145533,"45",2,1.25892541179417,"REG-ON"
50,213940,"45",2,1.25892541179417,"REG-ON"
60,160909,"45",2,1.25892541179417,"REG-ON"
0,100000,"46",10,1.25892541179417,"REG-ON"
10,99830,"46",10,1.25892541179417,"REG-ON"
20,97419,"46",10,1.25892541179417,"REG-ON"
30,179090,"46",10,1.25892541179417,"REG-ON"
40,156507,"46",10,1.25892541179417,"REG-ON"
50,246780,"46",10,1.25892541179417,"REG-ON"
60,201653,"46",10,1.25892541179417,"REG-ON"
0,100000,"47",50,1.25892541179417,"REG-ON"
10,99848,"47",50,1.25892541179417,"REG-ON"
20,98380,"47",50,1.25892541179417,"REG-ON"
30,187761,"47",50,1.25892541179417,"REG-ON"
40,174062,"47",50,1.25892541179417,"REG-ON"
50,301707,"47",50,1.25892541179417,"REG-ON"
60,273870,"47",50,1.25892541179417,"REG-ON"
0,100000,"48",200,1.25892541179417,"REG-ON"
10,99906,"48",200,1.25892541179417,"REG-ON"
20,98965,"48",200,1.25892541179417,"REG-ON"
30,191471,"48",200,1.25892541179417,"REG-ON"
40,182061,"48",200,1.25892541179417,"REG-ON"
50,328164,"48",200,1.25892541179417,"REG-ON"
60,310748,"48",200,1.25892541179417,"REG-ON"
0,100000,"49",2,1.58489319246111,"REG-ON"
10,99558,"49",2,1.58489319246111,"REG-ON"
20,93948,"49",2,1.58489319246111,"REG-ON"
30,155445,"49",2,1.58489319246111,"REG-ON"
40,113559,"49",2,1.58489319246111,"REG-ON"
50,137417,"49",2,1.58489319246111,"REG-ON"
60,84190,"49",2,1.58489319246111,"REG-ON"
0,100000,"50",10,1.58489319246111,"REG-ON"
10,99680,"50",10,1.58489319246111,"REG-ON"
20,95120,"50",10,1.58489319246111,"REG-ON"
30,164026,"50",10,1.58489319246111,"REG-ON"
40,129359,"50",10,1.58489319246111,"REG-ON"
50,176172,"50",10,1.58489319246111,"REG-ON"
60,123609,"50",10,1.58489319246111,"REG-ON"
0,100000,"51",50,1.58489319246111,"REG-ON"
10,99774,"51",50,1.58489319246111,"REG-ON"
20,97071,"51",50,1.58489319246111,"REG-ON"
30,177875,"51",50,1.58489319246111,"REG-ON"
40,155409,"51",50,1.58489319246111,"REG-ON"
50,246968,"51",50,1.58489319246111,"REG-ON"
60,204919,"51",50,1.58489319246111,"REG-ON"
0,100000,"52",200,1.58489319246111,"REG-ON"
10,99823,"52",200,1.58489319246111,"REG-ON"
20,97902,"52",200,1.58489319246111,"REG-ON"
30,184514,"52",200,1.58489319246111,"REG-ON"
40,168207,"52",200,1.58489319246111,"REG-ON"
50,285672,"52",200,1.58489319246111,"REG-ON"
60,253966,"52",200,1.58489319246111,"REG-ON"
0,100000,"53",2,1.99526231496888,"REG-ON"
10,99274,"53",2,1.99526231496888,"REG-ON"
20,89000,"53",2,1.99526231496888,"REG-ON"
30,128327,"53",2,1.99526231496888,"REG-ON"
40,76403,"53",2,1.99526231496888,"REG-ON"
50,69213,"53",2,1.99526231496888,"REG-ON"
60,31432,"53",2,1.99526231496888,"REG-ON"
0,100000,"54",10,1.99526231496888,"REG-ON"
10,99341,"54",10,1.99526231496888,"REG-ON"
20,90985,"54",10,1.99526231496888,"REG-ON"
30,140509,"54",10,1.99526231496888,"REG-ON"
40,94327,"54",10,1.99526231496888,"REG-ON"
50,102258,"54",10,1.99526231496888,"REG-ON"
60,57495,"54",10,1.99526231496888,"REG-ON"
0,100000,"55",50,1.99526231496888,"REG-ON"
10,99592,"55",50,1.99526231496888,"REG-ON"
20,94538,"55",50,1.99526231496888,"REG-ON"
30,162318,"55",50,1.99526231496888,"REG-ON"
40,128751,"55",50,1.99526231496888,"REG-ON"
50,178056,"55",50,1.99526231496888,"REG-ON"
60,128467,"55",50,1.99526231496888,"REG-ON"
0,100000,"56",200,1.99526231496888,"REG-ON"
10,99632,"56",200,1.99526231496888,"REG-ON"
20,96075,"56",200,1.99526231496888,"REG-ON"
30,172477,"56",200,1.99526231496888,"REG-ON"
40,146851,"56",200,1.99526231496888,"REG-ON"
50,225252,"56",200,1.99526231496888,"REG-ON"
60,180771,"56",200,1.99526231496888,"REG-ON"
0,100000,"57",2,2.51188643150958,"REG-ON"
10,98690,"57",2,2.51188643150958,"REG-ON"
20,80994,"57",2,2.51188643150958,"REG-ON"
30,93984,"57",2,2.51188643150958,"REG-ON"
