"survive","param.index","mutant.effect","drug.outsideConcentration.MULT","efflux.binom.param","extinction.time","extinction.time.sd","num.reps","cell.type"
0,"98",1,4,0.9,25.4902179559546,13.6911948371918,1000,"WT"
0,"99",1,4.5,0.9,23.6792909472863,12.1130528638195,1000,"WT"
0,"100",1,5,0.9,22.0600826573252,11.4353689469608,1000,"WT"
1,"101",1,0,1,NA,NA,1000,"WT"
0.974,"102",1,0.5,1,45.8579629320308,37.4497778988848,1000,"WT"
0.886,"103",1,0.7,1,58.2277189715579,49.2249687688639,1000,"WT"
0.553,"104",1,0.9,1,180.538184892644,177.395924583836,1000,"WT"
0.123,"105",1,1,1,282.999825610386,278.296489943855,1000,"WT"
0.001,"106",1,1.1,1,201.002732526558,182.465774787738,1000,"WT"
0,"107",1,1.2,1,135.223515714818,106.105915716436,1000,"WT"
0,"108",1,1.3,1,109.314545114657,82.511639219455,1000,"WT"
0,"109",1,1.4,1,88.5160416876367,58.2996359310468,1000,"WT"
0,"110",1,1.5,1,81.3628194342544,56.066295855285,1000,"WT"
0,"111",1,1.75,1,63.5509665285793,39.3226556165714,1000,"WT"
0,"112",1,2,1,52.2618987211536,30.153093896632,1000,"WT"
0,"113",1,2.25,1,46.2633557265952,27.4340027238847,1000,"WT"
0,"114",1,2.5,1,40.3783950398668,22.7759263815331,1000,"WT"
0,"115",1,2.75,1,36.3253776336715,20.0856088708479,1000,"WT"
0,"116",1,3,1,34.583624892855,18.0483027419987,1000,"WT"
0,"117",1,3.5,1,30.3117598842887,16.505548161598,1000,"WT"
0,"118",1,4,1,26.5992557741481,13.9248794543043,1000,"WT"
0,"119",1,4.5,1,24.3049113255706,12.3925755464578,1000,"WT"
0,"120",1,5,1,22.4280905100696,11.6330136385023,1000,"WT"
1,"1",2,0,0.5,NA,NA,1000,"REG-ON"
1,"2",10,0,0.5,NA,NA,1000,"REG-ON"
1,"3",50,0,0.5,NA,NA,1000,"REG-ON"
