"survive","param.index","drug.outsideConcentration.MULT","MIC.fraction","kappa","extinction.time","extinction.time.sd","num.reps"
0.819,"73",1,0.105,2,87.3305577353918,82.6496689046566,1000
0.863,"74",1,0.11,2,75.0703221707613,73.2365524721768,1000
0.89,"75",1,0.115,2,63.6768336683219,56.3931319440802,1000
0.903,"76",1,0.12,2,56.937122880814,52.6208645264802,1000
0,"77",1,0.07,3,138.28275456055,99.4636979702054,1000
0,"78",1,0.0705,3,148.454598827388,116.55308234481,1000
0,"79",1,0.071,3,150.809656694281,109.303505007395,1000
0,"80",1,0.0715,3,153.028972809545,119.03888546887,1000
0.001,"81",1,0.072,3,164.431332129203,129.089507860559,1000
0,"82",1,0.0725,3,164.693200505504,142.09054534657,1000
0.001,"83",1,0.073,3,167.46324455491,133.879449452129,1000
0.001,"84",1,0.0735,3,178.964938310558,153.862809246545,1000
0.001,"85",1,0.074,3,190.393251776165,156.971416403082,1000
0.001,"86",1,0.0745,3,202.150241985859,175.021398264549,1000
0.001,"87",1,0.075,3,200.211368141249,174.974280070991,1000
0.005,"88",1,0.0755,3,222.45988682185,193.611356265306,1000
0.014,"89",1,0.076,3,227.669549839531,200.067217692904,1000
0.014,"90",1,0.0765,3,236.419502089813,216.614794832317,1000
0.018,"91",1,0.077,3,248.522120025831,225.783389481302,1000
0.031,"92",1,0.0775,3,249.817513127689,224.447170149286,1000
0.047,"93",1,0.078,3,260.415205906986,235.060911043171,1000
0.055,"94",1,0.0785,3,265.938799868489,246.334650281214,1000
0.082,"95",1,0.079,3,282.908072045605,261.582202597579,1000
0.097,"96",1,0.0795,3,271.709892305625,260.979315494339,1000
0.128,"97",1,0.08,3,273.052299232673,251.425235617835,1000
0.17,"98",1,0.0805,3,288.942862663119,277.419900936529,1000
0.187,"99",1,0.081,3,266.948277045425,246.322086746455,1000
0.234,"100",1,0.0815,3,261.685146657324,240.567834180503,1000
0.26,"101",1,0.082,3,262.618575917922,245.927245147239,1000
0.3,"102",1,0.0825,3,269.746056963651,242.663805493752,1000
0.324,"103",1,0.083,3,278.419850401465,255.244245207969,1000
0.39,"104",1,0.0835,3,239.586282082443,225.4040988277,1000
0.425,"105",1,0.084,3,241.416150497158,214.622023433956,1000
0.419,"106",1,0.0845,3,236.085895294911,212.92314303043,1000
0.486,"107",1,0.085,3,209.22050817808,185.849150284219,1000
0.733,"108",1,0.09,3,142.297545924467,123.483492046815,1000
0.836,"109",1,0.095,3,110.011578270778,80.843651241677,1000
0.897,"110",1,0.1,3,90.1441406268376,65.0424671823409,1000
0.936,"111",1,0.105,3,70.3361778652028,50.070415366528,1000
