"sim.label","sample.time","num.cells","param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT"
53,20,604,41,1,0.08321406,3.98107170553497
53,30,657,41,1,0.08321406,3.98107170553497
53,40,322,41,1,0.08321406,3.98107170553497
53,50,258,41,1,0.08321406,3.98107170553497
53,60,112,41,1,0.08321406,3.98107170553497
53,70,78,41,1,0.08321406,3.98107170553497
53,80,29,41,1,0.08321406,3.98107170553497
53,90,17,41,1,0.08321406,3.98107170553497
53,100,3,41,1,0.08321406,3.98107170553497
53,110,1,41,1,0.08321406,3.98107170553497
53,120,2,41,1,0.08321406,3.98107170553497
53,130,1,41,1,0.08321406,3.98107170553497
54,0,1000,41,1,0.08321406,3.98107170553497
54,10,899,41,1,0.08321406,3.98107170553497
54,20,587,41,1,0.08321406,3.98107170553497
54,30,633,41,1,0.08321406,3.98107170553497
54,40,312,41,1,0.08321406,3.98107170553497
54,50,253,41,1,0.08321406,3.98107170553497
54,60,95,41,1,0.08321406,3.98107170553497
54,70,69,41,1,0.08321406,3.98107170553497
54,80,30,41,1,0.08321406,3.98107170553497
54,90,8,41,1,0.08321406,3.98107170553497
54,100,5,41,1,0.08321406,3.98107170553497
54,110,1,41,1,0.08321406,3.98107170553497
55,0,1000,41,1,0.08321406,3.98107170553497
55,10,889,41,1,0.08321406,3.98107170553497
55,20,608,41,1,0.08321406,3.98107170553497
55,30,695,41,1,0.08321406,3.98107170553497
55,40,321,41,1,0.08321406,3.98107170553497
55,50,266,41,1,0.08321406,3.98107170553497
55,60,106,41,1,0.08321406,3.98107170553497
55,70,81,41,1,0.08321406,3.98107170553497
55,80,36,41,1,0.08321406,3.98107170553497
55,90,17,41,1,0.08321406,3.98107170553497
55,100,11,41,1,0.08321406,3.98107170553497
55,110,3,41,1,0.08321406,3.98107170553497
55,120,3,41,1,0.08321406,3.98107170553497
56,0,1000,41,1,0.08321406,3.98107170553497
56,10,913,41,1,0.08321406,3.98107170553497
56,20,629,41,1,0.08321406,3.98107170553497
56,30,721,41,1,0.08321406,3.98107170553497
56,40,350,41,1,0.08321406,3.98107170553497
56,50,283,41,1,0.08321406,3.98107170553497
56,60,127,41,1,0.08321406,3.98107170553497
56,70,95,41,1,0.08321406,3.98107170553497
56,80,28,41,1,0.08321406,3.98107170553497
56,90,21,41,1,0.08321406,3.98107170553497
56,100,16,41,1,0.08321406,3.98107170553497
56,110,6,41,1,0.08321406,3.98107170553497
56,120,2,41,1,0.08321406,3.98107170553497
57,0,1000,41,1,0.08321406,3.98107170553497
57,10,886,41,1,0.08321406,3.98107170553497
57,20,615,41,1,0.08321406,3.98107170553497
57,30,650,41,1,0.08321406,3.98107170553497
57,40,324,41,1,0.08321406,3.98107170553497
57,50,260,41,1,0.08321406,3.98107170553497
57,60,116,41,1,0.08321406,3.98107170553497
57,70,84,41,1,0.08321406,3.98107170553497
57,80,38,41,1,0.08321406,3.98107170553497
57,90,20,41,1,0.08321406,3.98107170553497
57,100,9,41,1,0.08321406,3.98107170553497
57,110,4,41,1,0.08321406,3.98107170553497
57,120,2,41,1,0.08321406,3.98107170553497
57,130,1,41,1,0.08321406,3.98107170553497
58,0,1000,41,1,0.08321406,3.98107170553497
58,10,893,41,1,0.08321406,3.98107170553497
58,20,626,41,1,0.08321406,3.98107170553497
58,30,697,41,1,0.08321406,3.98107170553497
58,40,352,41,1,0.08321406,3.98107170553497
58,50,273,41,1,0.08321406,3.98107170553497
58,60,111,41,1,0.08321406,3.98107170553497
58,70,97,41,1,0.08321406,3.98107170553497
58,80,41,41,1,0.08321406,3.98107170553497
58,90,18,41,1,0.08321406,3.98107170553497
58,100,9,41,1,0.08321406,3.98107170553497
58,110,5,41,1,0.08321406,3.98107170553497
58,120,3,41,1,0.08321406,3.98107170553497
58,130,3,41,1,0.08321406,3.98107170553497
58,140,2,41,1,0.08321406,3.98107170553497
59,0,1000,41,1,0.08321406,3.98107170553497
59,10,879,41,1,0.08321406,3.98107170553497
59,20,592,41,1,0.08321406,3.98107170553497
59,30,648,41,1,0.08321406,3.98107170553497
59,40,321,41,1,0.08321406,3.98107170553497
59,50,272,41,1,0.08321406,3.98107170553497
59,60,137,41,1,0.08321406,3.98107170553497
59,70,104,41,1,0.08321406,3.98107170553497
59,80,45,41,1,0.08321406,3.98107170553497
59,90,28,41,1,0.08321406,3.98107170553497
59,100,9,41,1,0.08321406,3.98107170553497
59,110,2,41,1,0.08321406,3.98107170553497
60,0,1000,41,1,0.08321406,3.98107170553497
60,10,888,41,1,0.08321406,3.98107170553497
60,20,613,41,1,0.08321406,3.98107170553497
60,30,671,41,1,0.08321406,3.98107170553497
60,40,317,41,1,0.08321406,3.98107170553497
60,50,222,41,1,0.08321406,3.98107170553497
60,60,90,41,1,0.08321406,3.98107170553497
60,70,65,41,1,0.08321406,3.98107170553497
60,80,27,41,1,0.08321406,3.98107170553497
60,90,19,41,1,0.08321406,3.98107170553497
60,100,9,41,1,0.08321406,3.98107170553497
60,110,3,41,1,0.08321406,3.98107170553497
60,120,3,41,1,0.08321406,3.98107170553497
60,130,2,41,1,0.08321406,3.98107170553497
60,140,1,41,1,0.08321406,3.98107170553497
61,0,1000,41,1,0.08321406,3.98107170553497
61,10,901,41,1,0.08321406,3.98107170553497
