"param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","rate","t.end"
"17",2,0.08058672,0.398107170553497,0.00880993235406932,"60"
"17",2,0.08058672,0.398107170553497,0.0102324115717358,"120"
"17",2,0.08058672,0.398107170553497,0.0104238945715391,"180"
"18",3,0.079134,0.398107170553497,0.00931974797789945,"60"
"18",3,0.079134,0.398107170553497,0.0110210535897755,"120"
"18",3,0.079134,0.398107170553497,0.0113474383595231,"180"
"19",4,0.07814015,0.398107170553497,0.00947594461247426,"60"
"19",4,0.07814015,0.398107170553497,0.0113288602705347,"120"
"19",4,0.07814015,0.398107170553497,0.0117409646189228,"180"
"20",5,0.0775176,0.398107170553497,0.00954380683980997,"60"
"20",5,0.0775176,0.398107170553497,0.0114877087500574,"120"
"20",5,0.0775176,0.398107170553497,0.0119459284679369,"180"
"21",1,0.08321406,0.630957344480193,0.00578175854817852,"60"
"21",1,0.08321406,0.630957344480193,0.0061333356706067,"120"
"21",1,0.08321406,0.630957344480193,0.00582869498825778,"180"
"22",2,0.08058672,0.630957344480193,0.00778639146470973,"60"
"22",2,0.08058672,0.630957344480193,0.00836292486287841,"120"
"22",2,0.08058672,0.630957344480193,0.00810698145978533,"180"
"23",3,0.079134,0.630957344480193,0.008637976567397,"60"
"23",3,0.079134,0.630957344480193,0.00951476248163519,"120"
"23",3,0.079134,0.630957344480193,0.00936587608450574,"180"
"24",4,0.07814015,0.630957344480193,0.00901834269279463,"60"
"24",4,0.07814015,0.630957344480193,0.0101303122052735,"120"
"24",4,0.07814015,0.630957344480193,0.0100738889392444,"180"
"25",5,0.0775176,0.630957344480193,0.00920164733486661,"60"
"25",5,0.0775176,0.630957344480193,0.0104778074423025,"120"
"25",5,0.0775176,0.630957344480193,0.0105002296066082,"180"
"26",1,0.08321406,1,0.00359805271010343,"60"
"26",1,0.08321406,1,0.00301065871016234,"120"
"26",1,0.08321406,1,0.00223153132201124,"180"
"27",2,0.08058672,1,0.00544482773298233,"60"
"27",2,0.08058672,1,0.00427442891945059,"120"
"27",2,0.08058672,1,0.00309263809073286,"180"
"28",3,0.079134,1,0.00640570215909851,"60"
"28",3,0.079134,1,0.00493850538966388,"120"
"28",3,0.079134,1,0.00353022260932116,"180"
"29",4,0.07814015,1,0.00687791263377462,"60"
