"survive","param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","extinction.time","extinction.time.sd","num.reps"
0.08,"53",3,0.079134,1,284.830147029577,251.780473715139,1000
0.082,"54",4,0.07814015,1,285.270117095254,248.533349259686,1000
0.081,"55",5,0.0775176,1,292.553987862977,247.361196272263,1000
0.015,"56",1,0.08321406,1.1,177.425514328666,208.45330708504,1000
0,"57",2,0.08058672,1.1,164.922555207792,146.713280985518,1000
0,"58",3,0.079134,1.1,159.394270703008,119.684140592958,1000
0,"59",4,0.07814015,1.1,151.929499063873,110.293413855252,1000
0,"60",5,0.0775176,1.1,145.878859646219,95.3007525798654,1000
0,"61",1,0.08321406,1.2,141.711698405578,154.374485032316,1000
0,"62",2,0.08058672,1.2,120.937516550099,93.8407122899358,1000
0,"63",3,0.079134,1.2,111.567955523993,74.8632200262219,1000
0,"64",4,0.07814015,1.2,103.98241164513,62.5942418227009,1000
0,"65",5,0.0775176,1.2,100.007998354454,56.0700079112049,1000
0,"66",1,0.08321406,1.3,104.298187551461,103.419740595814,1000
0,"67",2,0.08058672,1.3,93.5326657045119,66.3024983527394,1000
0,"68",3,0.079134,1.3,89.0733637657865,51.6096687309199,1000
0,"69",4,0.07814015,1.3,82.89789006559,41.067790189559,1000
0,"70",5,0.0775176,1.3,79.5240767231413,36.8122171133271,1000
0,"71",1,0.08321406,1.4,95.1787383371553,85.9826256176462,1000
0,"72",2,0.08058672,1.4,83.1007309272803,55.1374059021169,1000
0,"73",3,0.079134,1.4,73.6341279888377,40.9886716001356,1000
0,"74",4,0.07814015,1.4,70.19855016497,32.494919344286,1000
0,"75",5,0.0775176,1.4,66.9899680991906,29.5337325598938,1000
0,"76",1,0.08321406,1.5,81.9982132273861,70.948876377746,1000
0,"77",2,0.08058672,1.5,72.4118931425315,45.9725004239127,1000
0,"78",3,0.079134,1.5,63.9741125597177,34.5951250572153,1000
0,"79",4,0.07814015,1.5,61.0178524978833,27.4865745511586,1000
0,"80",5,0.0775176,1.5,59.1396827219414,24.7625178289844,1000
0,"81",1,0.08321406,1.6,75.9444896749614,68.1135735759589,1000
0,"82",2,0.08058672,1.6,66.0115890593328,41.312280867322,1000
0,"83",3,0.079134,1.6,58.5746918196245,28.6010377867833,1000
0,"84",4,0.07814015,1.6,54.9483010757072,22.7039025285655,1000
0,"85",5,0.0775176,1.6,51.6530843678926,20.0905620859528,1000
0,"86",1,0.08321406,1.7,67.5206238498373,55.8055521501337,1000
0,"87",2,0.08058672,1.7,56.840618844541,33.7648386045907,1000
0,"88",3,0.079134,1.7,51.5791516094369,25.1915562007553,1000
0,"89",4,0.07814015,1.7,49.1412114860678,21.1046299579483,1000
0,"90",5,0.0775176,1.7,46.6705880722154,19.138507484266,1000
0,"91",1,0.08321406,1.8,62.0222090014188,51.7208296867433,1000
0,"92",2,0.08058672,1.8,54.6175492218353,32.555454935419,1000
0,"93",3,0.079134,1.8,50.5714429932383,24.3414097225704,1000
0,"94",4,0.07814015,1.8,45.3259382442547,18.3123945824858,1000
0,"95",5,0.0775176,1.8,43.0008596764769,16.6336424568089,1000
0,"96",1,0.08321406,1.9,59.4520341409696,44.9205673693939,1000
0,"97",2,0.08058672,1.9,52.0841020066992,30.7563705007947,1000
0,"98",3,0.079134,1.9,45.3716704213111,20.9138538440653,1000
0,"99",4,0.07814015,1.9,42.4010779276281,17.3138202588321,1000
0,"100",5,0.0775176,1.9,40.4626245082354,14.6565439322125,1000
0,"101",1,0.08321406,2,55.659564355495,41.7283719030179,1000
0,"102",2,0.08058672,2,46.4298440127764,25.8692629303397,1000
0,"103",3,0.079134,2,43.2765852629715,20.1588907307998,1000
0,"104",4,0.07814015,2,39.6911631523714,16.4609597869786,1000
0,"105",5,0.0775176,2,38.5698658839307,14.0969585819786,1000
