"survive","parameter.index","mutant.effect","drug.outsideConcentration.MULT","drug.off","cell.type","final.size"
0,"55",50,2.5,Inf,"STRUCT-BIND",6922
1,"56",200,2.5,Inf,"STRUCT-BIND",23052
0,"57",2,2.75,Inf,"STRUCT-BIND",0
0,"58",10,2.75,Inf,"STRUCT-BIND",0
0,"59",50,2.75,Inf,"STRUCT-BIND",3994
0,"60",200,2.75,Inf,"STRUCT-BIND",18284
0,"61",2,3,Inf,"STRUCT-BIND",0
0,"62",10,3,Inf,"STRUCT-BIND",0
0,"63",50,3,Inf,"STRUCT-BIND",3324
0,"64",200,3,Inf,"STRUCT-BIND",17068
0,"65",2,3.5,Inf,"STRUCT-BIND",0
0,"66",10,3.5,Inf,"STRUCT-BIND",0
0,"67",50,3.5,Inf,"STRUCT-BIND",1091
1,"68",200,3.5,Inf,"STRUCT-BIND",16686
0,"69",2,4,Inf,"STRUCT-BIND",0
0,"70",10,4,Inf,"STRUCT-BIND",0
0,"71",50,4,Inf,"STRUCT-BIND",99
0,"72",200,4,Inf,"STRUCT-BIND",14495
0,"73",2,4.5,Inf,"STRUCT-BIND",0
0,"74",10,4.5,Inf,"STRUCT-BIND",0
0,"75",50,4.5,Inf,"STRUCT-BIND",118
0,"76",200,4.5,Inf,"STRUCT-BIND",11354
0,"77",2,5,Inf,"STRUCT-BIND",0
0,"78",10,5,Inf,"STRUCT-BIND",0
0,"79",50,5,Inf,"STRUCT-BIND",0
0,"80",200,5,Inf,"STRUCT-BIND",9891
1,"81",2,1,30,"STRUCT-BIND",108180
1,"82",10,1,30,"STRUCT-BIND",106960
1,"83",50,1,30,"STRUCT-BIND",107890
1,"84",200,1,30,"STRUCT-BIND",109251
0,"85",2,2,30,"STRUCT-BIND",63515
1,"86",10,2,30,"STRUCT-BIND",66781
1,"87",50,2,30,"STRUCT-BIND",74119
0,"88",200,2,30,"STRUCT-BIND",80223
0,"89",2,3,30,"STRUCT-BIND",16866
0,"90",10,3,30,"STRUCT-BIND",24885
1,"91",50,3,30,"STRUCT-BIND",39971
0,"92",200,3,30,"STRUCT-BIND",49168
0,"93",2,4,30,"STRUCT-BIND",3561
0,"94",10,4,30,"STRUCT-BIND",8295
0,"95",50,4,30,"STRUCT-BIND",24297
0,"96",200,4,30,"STRUCT-BIND",36238
0,"97",2,5,30,"STRUCT-BIND",923
1,"98",10,5,30,"STRUCT-BIND",5500
0,"99",50,5,30,"STRUCT-BIND",17592
0,"100",200,5,30,"STRUCT-BIND",30750
1,"101",2,1,60,"STRUCT-BIND",98288
1,"102",10,1,60,"STRUCT-BIND",98365
1,"103",50,1,60,"STRUCT-BIND",100191
1,"104",200,1,60,"STRUCT-BIND",103821
0,"105",2,2,60,"STRUCT-BIND",11721
0,"106",10,2,60,"STRUCT-BIND",23067
0,"107",50,2,60,"STRUCT-BIND",39269
0,"108",200,2,60,"STRUCT-BIND",45744
0,"109",2,3,60,"STRUCT-BIND",685
1,"110",10,3,60,"STRUCT-BIND",4047
0,"111",50,3,60,"STRUCT-BIND",20954
0,"112",200,3,60,"STRUCT-BIND",35085
0,"113",2,4,60,"STRUCT-BIND",123
0,"114",10,4,60,"STRUCT-BIND",1811
0,"115",50,4,60,"STRUCT-BIND",13767
0,"116",200,4,60,"STRUCT-BIND",28648
0,"117",2,5,60,"STRUCT-BIND",0
0,"118",10,5,60,"STRUCT-BIND",570
0,"119",50,5,60,"STRUCT-BIND",10340
0,"120",200,5,60,"STRUCT-BIND",24828
1,"121",2,1,120,"STRUCT-BIND",77465
1,"122",10,1,120,"STRUCT-BIND",83442
1,"123",50,1,120,"STRUCT-BIND",87966
1,"124",200,1,120,"STRUCT-BIND",92493
0,"125",2,2,120,"STRUCT-BIND",345
0,"126",10,2,120,"STRUCT-BIND",6282
0,"127",50,2,120,"STRUCT-BIND",23177
0,"128",200,2,120,"STRUCT-BIND",36074
0,"129",2,3,120,"STRUCT-BIND",0
0,"130",10,3,120,"STRUCT-BIND",1435
0,"131",50,3,120,"STRUCT-BIND",12916
0,"132",200,3,120,"STRUCT-BIND",25210
0,"133",2,4,120,"STRUCT-BIND",0
0,"134",10,4,120,"STRUCT-BIND",356
0,"135",50,4,120,"STRUCT-BIND",7752
0,"136",200,4,120,"STRUCT-BIND",20771
0,"137",2,5,120,"STRUCT-BIND",0
0,"138",10,5,120,"STRUCT-BIND",0
0,"139",50,5,120,"STRUCT-BIND",4542
0,"140",200,5,120,"STRUCT-BIND",16227
0,"141",2,1,240,"STRUCT-BIND",53277
1,"142",10,1,240,"STRUCT-BIND",62909
0,"143",50,1,240,"STRUCT-BIND",73655
1,"144",200,1,240,"STRUCT-BIND",79231
0,"145",2,2,240,"STRUCT-BIND",0
0,"146",10,2,240,"STRUCT-BIND",1764
1,"147",50,2,240,"STRUCT-BIND",17666
1,"148",200,2,240,"STRUCT-BIND",29830
0,"149",2,3,240,"STRUCT-BIND",0
0,"150",10,3,240,"STRUCT-BIND",0
0,"151",50,3,240,"STRUCT-BIND",8331
0,"152",200,3,240,"STRUCT-BIND",21734
0,"153",2,4,240,"STRUCT-BIND",0
0,"154",10,4,240,"STRUCT-BIND",105
0,"155",50,4,240,"STRUCT-BIND",2351
0,"156",200,4,240,"STRUCT-BIND",16841
0,"157",2,5,240,"STRUCT-BIND",0
0,"158",10,5,240,"STRUCT-BIND",0
0,"159",50,5,240,"STRUCT-BIND",1566
0,"160",200,5,240,"STRUCT-BIND",12709
0,"161",2,1,480,"STRUCT-BIND",33854
1,"162",10,1,480,"STRUCT-BIND",53565
1,"163",50,1,480,"STRUCT-BIND",70990
1,"164",200,1,480,"STRUCT-BIND",77399
0,"165",2,2,480,"STRUCT-BIND",0
0,"166",10,2,480,"STRUCT-BIND",100
0,"167",50,2,480,"STRUCT-BIND",13836
0,"168",200,2,480,"STRUCT-BIND",26253
0,"169",2,3,480,"STRUCT-BIND",0
0,"170",10,3,480,"STRUCT-BIND",0
0,"171",50,3,480,"STRUCT-BIND",5682
0,"172",200,3,480,"STRUCT-BIND",18286
0,"173",2,4,480,"STRUCT-BIND",0
0,"174",10,4,480,"STRUCT-BIND",0
0,"175",50,4,480,"STRUCT-BIND",1280
0,"176",200,4,480,"STRUCT-BIND",14888
0,"177",2,5,480,"STRUCT-BIND",0
0,"178",10,5,480,"STRUCT-BIND",0
0,"179",50,5,480,"STRUCT-BIND",317
0,"180",200,5,480,"STRUCT-BIND",9521
1,"1",2,0,Inf,"STRUCT-CAT",113872
1,"2",10,0,Inf,"STRUCT-CAT",114035
1,"3",50,0,Inf,"STRUCT-CAT",113597
1,"4",200,0,Inf,"STRUCT-CAT",113417
1,"5",2,0.5,Inf,"STRUCT-CAT",103081
1,"6",10,0.5,Inf,"STRUCT-CAT",104151
1,"7",50,0.5,Inf,"STRUCT-CAT",102731
1,"8",200,0.5,Inf,"STRUCT-CAT",102861
1,"9",2,0.7,Inf,"STRUCT-CAT",89538
1,"10",10,0.7,Inf,"STRUCT-CAT",88865
1,"11",50,0.7,Inf,"STRUCT-CAT",90710
1,"12",200,0.7,Inf,"STRUCT-CAT",89972
1,"13",2,0.9,Inf,"STRUCT-CAT",50744
0,"14",10,0.9,Inf,"STRUCT-CAT",52570
0,"15",50,0.9,Inf,"STRUCT-CAT",50750
0,"16",200,0.9,Inf,"STRUCT-CAT",51810
0,"17",2,1,Inf,"STRUCT-CAT",825
0,"18",10,1,Inf,"STRUCT-CAT",1032
0,"19",50,1,Inf,"STRUCT-CAT",1236
0,"20",200,1,Inf,"STRUCT-CAT",1047
0,"21",2,1.1,Inf,"STRUCT-CAT",0
0,"22",10,1.1,Inf,"STRUCT-CAT",0
0,"23",50,1.1,Inf,"STRUCT-CAT",0
0,"24",200,1.1,Inf,"STRUCT-CAT",0
0,"25",2,1.2,Inf,"STRUCT-CAT",0
0,"26",10,1.2,Inf,"STRUCT-CAT",0
0,"27",50,1.2,Inf,"STRUCT-CAT",0
0,"28",200,1.2,Inf,"STRUCT-CAT",0
0,"29",2,1.3,Inf,"STRUCT-CAT",0
0,"30",10,1.3,Inf,"STRUCT-CAT",0
0,"31",50,1.3,Inf,"STRUCT-CAT",0
0,"32",200,1.3,Inf,"STRUCT-CAT",0
0,"33",2,1.4,Inf,"STRUCT-CAT",0
0,"34",10,1.4,Inf,"STRUCT-CAT",0
0,"35",50,1.4,Inf,"STRUCT-CAT",0
0,"36",200,1.4,Inf,"STRUCT-CAT",0
0,"37",2,1.5,Inf,"STRUCT-CAT",0
0,"38",10,1.5,Inf,"STRUCT-CAT",0
0,"39",50,1.5,Inf,"STRUCT-CAT",0
0,"40",200,1.5,Inf,"STRUCT-CAT",0
0,"41",2,1.75,Inf,"STRUCT-CAT",0
0,"42",10,1.75,Inf,"STRUCT-CAT",0
0,"43",50,1.75,Inf,"STRUCT-CAT",0
0,"44",200,1.75,Inf,"STRUCT-CAT",0
0,"45",2,2,Inf,"STRUCT-CAT",0
0,"46",10,2,Inf,"STRUCT-CAT",0
0,"47",50,2,Inf,"STRUCT-CAT",0
0,"48",200,2,Inf,"STRUCT-CAT",0
0,"49",2,2.25,Inf,"STRUCT-CAT",0
0,"50",10,2.25,Inf,"STRUCT-CAT",0
0,"51",50,2.25,Inf,"STRUCT-CAT",0
0,"52",200,2.25,Inf,"STRUCT-CAT",0
0,"53",2,2.5,Inf,"STRUCT-CAT",0
0,"54",10,2.5,Inf,"STRUCT-CAT",0
0,"55",50,2.5,Inf,"STRUCT-CAT",0
0,"56",200,2.5,Inf,"STRUCT-CAT",0
0,"57",2,2.75,Inf,"STRUCT-CAT",0
0,"58",10,2.75,Inf,"STRUCT-CAT",0
0,"59",50,2.75,Inf,"STRUCT-CAT",0
0,"60",200,2.75,Inf,"STRUCT-CAT",0
0,"61",2,3,Inf,"STRUCT-CAT",0
0,"62",10,3,Inf,"STRUCT-CAT",0
0,"63",50,3,Inf,"STRUCT-CAT",0
0,"64",200,3,Inf,"STRUCT-CAT",0
0,"65",2,3.5,Inf,"STRUCT-CAT",0
0,"66",10,3.5,Inf,"STRUCT-CAT",0
0,"67",50,3.5,Inf,"STRUCT-CAT",0
0,"68",200,3.5,Inf,"STRUCT-CAT",0
0,"69",2,4,Inf,"STRUCT-CAT",0
0,"70",10,4,Inf,"STRUCT-CAT",0
0,"71",50,4,Inf,"STRUCT-CAT",0
0,"72",200,4,Inf,"STRUCT-CAT",0
0,"73",2,4.5,Inf,"STRUCT-CAT",0
0,"74",10,4.5,Inf,"STRUCT-CAT",0
0,"75",50,4.5,Inf,"STRUCT-CAT",0
0,"76",200,4.5,Inf,"STRUCT-CAT",0
0,"77",2,5,Inf,"STRUCT-CAT",0
0,"78",10,5,Inf,"STRUCT-CAT",0
0,"79",50,5,Inf,"STRUCT-CAT",0
0,"80",200,5,Inf,"STRUCT-CAT",0
1,"81",2,1,30,"STRUCT-CAT",106039
1,"82",10,1,30,"STRUCT-CAT",107071
1,"83",50,1,30,"STRUCT-CAT",105483
1,"84",200,1,30,"STRUCT-CAT",106539
1,"85",2,2,30,"STRUCT-CAT",58664
1,"86",10,2,30,"STRUCT-CAT",59585
1,"87",50,2,30,"STRUCT-CAT",60439
1,"88",200,2,30,"STRUCT-CAT",60758
0,"89",2,3,30,"STRUCT-CAT",12898
0,"90",10,3,30,"STRUCT-CAT",14954
0,"91",50,3,30,"STRUCT-CAT",13513
0,"92",200,3,30,"STRUCT-CAT",15067
0,"93",2,4,30,"STRUCT-CAT",2636
0,"94",10,4,30,"STRUCT-CAT",2568
0,"95",50,4,30,"STRUCT-CAT",2783
0,"96",200,4,30,"STRUCT-CAT",1492
0,"97",2,5,30,"STRUCT-CAT",906
0,"98",10,5,30,"STRUCT-CAT",464
0,"99",50,5,30,"STRUCT-CAT",464
0,"100",200,5,30,"STRUCT-CAT",435
1,"101",2,1,60,"STRUCT-CAT",96835
1,"102",10,1,60,"STRUCT-CAT",96503
1,"103",50,1,60,"STRUCT-CAT",94598
1,"104",200,1,60,"STRUCT-CAT",97567
0,"105",2,2,60,"STRUCT-CAT",9191
1,"106",10,2,60,"STRUCT-CAT",10373
0,"107",50,2,60,"STRUCT-CAT",9918
0,"108",200,2,60,"STRUCT-CAT",9139
0,"109",2,3,60,"STRUCT-CAT",0
0,"110",10,3,60,"STRUCT-CAT",0
0,"111",50,3,60,"STRUCT-CAT",568
0,"112",200,3,60,"STRUCT-CAT",0
0,"113",2,4,60,"STRUCT-CAT",0
0,"114",10,4,60,"STRUCT-CAT",0
0,"115",50,4,60,"STRUCT-CAT",0
0,"116",200,4,60,"STRUCT-CAT",0
0,"117",2,5,60,"STRUCT-CAT",0
0,"118",10,5,60,"STRUCT-CAT",0
0,"119",50,5,60,"STRUCT-CAT",0
0,"120",200,5,60,"STRUCT-CAT",0
1,"121",2,1,120,"STRUCT-CAT",74367
0,"122",10,1,120,"STRUCT-CAT",73309
1,"123",50,1,120,"STRUCT-CAT",74921
0,"124",200,1,120,"STRUCT-CAT",76709
0,"125",2,2,120,"STRUCT-CAT",228
0,"126",10,2,120,"STRUCT-CAT",230
0,"127",50,2,120,"STRUCT-CAT",315
0,"128",200,2,120,"STRUCT-CAT",115
0,"129",2,3,120,"STRUCT-CAT",0
0,"130",10,3,120,"STRUCT-CAT",0
0,"131",50,3,120,"STRUCT-CAT",0
0,"132",200,3,120,"STRUCT-CAT",0
0,"133",2,4,120,"STRUCT-CAT",0
0,"134",10,4,120,"STRUCT-CAT",0
0,"135",50,4,120,"STRUCT-CAT",0
0,"136",200,4,120,"STRUCT-CAT",0
0,"137",2,5,120,"STRUCT-CAT",0
0,"138",10,5,120,"STRUCT-CAT",0
0,"139",50,5,120,"STRUCT-CAT",0
0,"140",200,5,120,"STRUCT-CAT",0
0,"141",2,1,240,"STRUCT-CAT",48988
0,"142",10,1,240,"STRUCT-CAT",49107
1,"143",50,1,240,"STRUCT-CAT",46177
0,"144",200,1,240,"STRUCT-CAT",46793
0,"145",2,2,240,"STRUCT-CAT",0
0,"146",10,2,240,"STRUCT-CAT",0
0,"147",50,2,240,"STRUCT-CAT",0
0,"148",200,2,240,"STRUCT-CAT",0
0,"149",2,3,240,"STRUCT-CAT",0
0,"150",10,3,240,"STRUCT-CAT",0
0,"151",50,3,240,"STRUCT-CAT",0
0,"152",200,3,240,"STRUCT-CAT",0
0,"153",2,4,240,"STRUCT-CAT",0
0,"154",10,4,240,"STRUCT-CAT",0
0,"155",50,4,240,"STRUCT-CAT",0
0,"156",200,4,240,"STRUCT-CAT",0
0,"157",2,5,240,"STRUCT-CAT",0
0,"158",10,5,240,"STRUCT-CAT",0
0,"159",50,5,240,"STRUCT-CAT",0
0,"160",200,5,240,"STRUCT-CAT",0
1,"161",2,1,480,"STRUCT-CAT",23936
0,"162",10,1,480,"STRUCT-CAT",26913
0,"163",50,1,480,"STRUCT-CAT",23294
0,"164",200,1,480,"STRUCT-CAT",25182
0,"165",2,2,480,"STRUCT-CAT",0
0,"166",10,2,480,"STRUCT-CAT",0
0,"167",50,2,480,"STRUCT-CAT",0
0,"168",200,2,480,"STRUCT-CAT",0
0,"169",2,3,480,"STRUCT-CAT",0
0,"170",10,3,480,"STRUCT-CAT",0
0,"171",50,3,480,"STRUCT-CAT",0
0,"172",200,3,480,"STRUCT-CAT",0
0,"173",2,4,480,"STRUCT-CAT",0
0,"174",10,4,480,"STRUCT-CAT",0
0,"175",50,4,480,"STRUCT-CAT",0
0,"176",200,4,480,"STRUCT-CAT",0
0,"177",2,5,480,"STRUCT-CAT",0
0,"178",10,5,480,"STRUCT-CAT",0
0,"179",50,5,480,"STRUCT-CAT",0
0,"180",200,5,480,"STRUCT-CAT",0
1,"1",1,0,Inf,"WT",113636
1,"2",1,0.5,Inf,"WT",104212
1,"3",1,0.7,Inf,"WT",93974
1,"4",1,0.9,Inf,"WT",71022
0,"5",1,1,Inf,"WT",35112
0,"6",1,1.1,Inf,"WT",158
0,"7",1,1.2,Inf,"WT",0
0,"8",1,1.3,Inf,"WT",0
0,"9",1,1.4,Inf,"WT",0
0,"10",1,1.5,Inf,"WT",0
0,"11",1,1.75,Inf,"WT",0
0,"12",1,2,Inf,"WT",0
0,"13",1,2.25,Inf,"WT",0
0,"14",1,2.5,Inf,"WT",0
0,"15",1,2.75,Inf,"WT",0
0,"16",1,3,Inf,"WT",0
0,"17",1,3.5,Inf,"WT",0
0,"18",1,4,Inf,"WT",0
0,"19",1,4.5,Inf,"WT",0
0,"20",1,5,Inf,"WT",0
1,"21",1,1,30,"WT",107434
0,"22",1,2,30,"WT",66792
0,"23",1,3,30,"WT",17253
0,"24",1,4,30,"WT",2358
0,"25",1,5,30,"WT",566
1,"26",1,1,60,"WT",99125
0,"27",1,2,60,"WT",12719
0,"28",1,3,60,"WT",558
0,"29",1,4,60,"WT",0
0,"30",1,5,60,"WT",0
1,"31",1,1,120,"WT",87384
0,"32",1,2,120,"WT",123
0,"33",1,3,120,"WT",0
0,"34",1,4,120,"WT",0
0,"35",1,5,120,"WT",0
1,"36",1,1,240,"WT",71166
0,"37",1,2,240,"WT",0
0,"38",1,3,240,"WT",0
0,"39",1,4,240,"WT",0
0,"40",1,5,240,"WT",0
1,"41",1,1,480,"WT",54854
0,"42",1,2,480,"WT",0
0,"43",1,3,480,"WT",0
0,"44",1,4,480,"WT",0
0,"45",1,5,480,"WT",0
1,"1",1,0,Inf,"KO",113652
1,"2",1,0.5,Inf,"KO",104975
1,"3",1,0.7,Inf,"KO",95356
1,"4",1,0.9,Inf,"KO",79977
0,"5",1,1,Inf,"KO",57417
0,"6",1,1.1,Inf,"KO",2634
0,"7",1,1.2,Inf,"KO",0
0,"8",1,1.3,Inf,"KO",0
0,"9",1,1.4,Inf,"KO",0
0,"10",1,1.5,Inf,"KO",0
0,"11",1,1.75,Inf,"KO",0
0,"12",1,2,Inf,"KO",0
0,"13",1,2.25,Inf,"KO",0
0,"14",1,2.5,Inf,"KO",0
0,"15",1,2.75,Inf,"KO",0
0,"16",1,3,Inf,"KO",0
0,"17",1,3.5,Inf,"KO",0
0,"18",1,4,Inf,"KO",0
0,"19",1,4.5,Inf,"KO",0
0,"20",1,5,Inf,"KO",0
1,"21",1,1,30,"KO",107848
1,"22",1,2,30,"KO",67909
0,"23",1,3,30,"KO",19173
0,"24",1,4,30,"KO",2372
0,"25",1,5,30,"KO",235
1,"26",1,1,60,"KO",102881
1,"27",1,2,60,"KO",14109
0,"28",1,3,60,"KO",459
0,"29",1,4,60,"KO",0
0,"30",1,5,60,"KO",0
1,"31",1,1,120,"KO",92132
0,"32",1,2,120,"KO",332
0,"33",1,3,120,"KO",0
0,"34",1,4,120,"KO",0
0,"35",1,5,120,"KO",0
1,"36",1,1,240,"KO",81939
0,"37",1,2,240,"KO",0
0,"38",1,3,240,"KO",0
0,"39",1,4,240,"KO",0
0,"40",1,5,240,"KO",0
1,"41",1,1,480,"KO",68324
0,"42",1,2,480,"KO",0
0,"43",1,3,480,"KO",0
0,"44",1,4,480,"KO",0
0,"45",1,5,480,"KO",0
