"survive","parameter.index","mutant.effect","drug.outsideConcentration.MULT","drug.off","cell.type","final.size"
0,"130",10,3,120,"REG-ON",0
0,"131",50,3,120,"REG-ON",347
0,"132",200,3,120,"REG-ON",4344
0,"133",2,4,120,"REG-ON",0
0,"134",10,4,120,"REG-ON",0
0,"135",50,4,120,"REG-ON",0
0,"136",200,4,120,"REG-ON",0
0,"137",2,5,120,"REG-ON",0
0,"138",10,5,120,"REG-ON",0
0,"139",50,5,120,"REG-ON",0
0,"140",200,5,120,"REG-ON",0
0,"141",2,1,240,"REG-ON",54499
1,"142",10,1,240,"REG-ON",87998
1,"143",50,1,240,"REG-ON",96296
1,"144",200,1,240,"REG-ON",101500
0,"145",2,2,240,"REG-ON",0
0,"146",10,2,240,"REG-ON",0
0,"147",50,2,240,"REG-ON",4593
0,"148",200,2,240,"REG-ON",28626
0,"149",2,3,240,"REG-ON",0
0,"150",10,3,240,"REG-ON",0
0,"151",50,3,240,"REG-ON",0
0,"152",200,3,240,"REG-ON",0
0,"153",2,4,240,"REG-ON",0
0,"154",10,4,240,"REG-ON",0
0,"155",50,4,240,"REG-ON",0
0,"156",200,4,240,"REG-ON",0
0,"157",2,5,240,"REG-ON",0
0,"158",10,5,240,"REG-ON",0
0,"159",50,5,240,"REG-ON",0
0,"160",200,5,240,"REG-ON",0
0,"161",2,1,480,"REG-ON",34596
1,"162",10,1,480,"REG-ON",69929
1,"163",50,1,480,"REG-ON",94502
1,"164",200,1,480,"REG-ON",100652
0,"165",2,2,480,"REG-ON",0
0,"166",10,2,480,"REG-ON",0
0,"167",50,2,480,"REG-ON",0
0,"168",200,2,480,"REG-ON",13866
0,"169",2,3,480,"REG-ON",0
0,"170",10,3,480,"REG-ON",0
0,"171",50,3,480,"REG-ON",0
0,"172",200,3,480,"REG-ON",0
0,"173",2,4,480,"REG-ON",0
0,"174",10,4,480,"REG-ON",0
0,"175",50,4,480,"REG-ON",0
0,"176",200,4,480,"REG-ON",0
0,"177",2,5,480,"REG-ON",0
0,"178",10,5,480,"REG-ON",0
0,"179",50,5,480,"REG-ON",0
0,"180",200,5,480,"REG-ON",0
1,"1",2,0,Inf,"REG-OFF",113332
1,"2",10,0,Inf,"REG-OFF",113631
1,"3",50,0,Inf,"REG-OFF",113497
1,"4",200,0,Inf,"REG-OFF",113690
1,"5",2,0.5,Inf,"REG-OFF",103489
1,"6",10,0.5,Inf,"REG-OFF",105230
1,"7",50,0.5,Inf,"REG-OFF",106654
1,"8",200,0.5,Inf,"REG-OFF",107925
