"survive","parameter.index","mutant.effect","drug.outsideConcentration.MULT","drug.off","cell.type","extinction.time","extinction.time.sd"
0,"76",200,4.5,Inf,"REG-ON",31.9950242974092,16.7866770672241
0,"77",2,5,Inf,"REG-ON",19.7489477675976,8.46357296346772
0,"78",10,5,Inf,"REG-ON",20.9392741947331,9.11665603940356
0,"79",50,5,Inf,"REG-ON",24.8801758732579,11.8235451199207
0,"80",200,5,Inf,"REG-ON",28.3625830860217,13.3187376534669
0.95,"81",2,1,30,"REG-ON",25.6079844468824,10.1366827442888
0.959,"82",10,1,30,"REG-ON",24.7471980623635,8.24865668720351
0.979,"83",50,1,30,"REG-ON",19.8744978342866,5.87712524812928
0.986,"84",200,1,30,"REG-ON",25.5767386038097,9.91765095341456
0.568,"85",2,2,30,"REG-ON",28.9516783058575,11.4326109231828
0.639,"86",10,2,30,"REG-ON",28.5797839289231,11.4581114255452
0.845,"87",50,2,30,"REG-ON",26.7806593431509,11.1008665530933
0.883,"88",200,2,30,"REG-ON",22.3554242626519,8.91801495601354
0.154,"89",2,3,30,"REG-ON",26.8510481046291,11.0828523116687
0.231,"90",10,3,30,"REG-ON",28.0447544916011,10.9806071249179
0.505,"91",50,3,30,"REG-ON",26.9777033101495,10.6844017673402
0.668,"92",200,3,30,"REG-ON",25.6161556987441,10.8180911312526
0.022,"93",2,4,30,"REG-ON",23.0909586489676,9.84462457448009
0.06,"94",10,4,30,"REG-ON",23.9233009738637,9.98161257806008
0.208,"95",50,4,30,"REG-ON",24.7834076079615,10.1538398008635
0.359,"96",200,4,30,"REG-ON",25.3854832197888,10.2981378280485
0.001,"97",2,5,30,"REG-ON",19.4348603748985,8.34019059973074
0.015,"98",10,5,30,"REG-ON",20.3980372303108,8.70733915625497
0.088,"99",50,5,30,"REG-ON",23.0309655872764,10.2422101574142
0.171,"100",200,5,30,"REG-ON",23.8735316280454,10.2097413625377
0.866,"101",2,1,60,"REG-ON",43.8631865661191,19.1143044750398
0.926,"102",10,1,60,"REG-ON",41.2845785728033,16.1066016431017
0.967,"103",50,1,60,"REG-ON",30.9291295808617,16.111770091136
0.988,"104",200,1,60,"REG-ON",40.2027254812146,10.4071308022159
0.101,"105",2,2,60,"REG-ON",41.889190707281,17.2184497203339
0.218,"106",10,2,60,"REG-ON",43.0229593249552,16.9853376473928
0.543,"107",50,2,60,"REG-ON",43.506177361651,17.4915883840083
0.733,"108",200,2,60,"REG-ON",42.4690136301542,17.2916596760328
0.002,"109",2,3,60,"REG-ON",29.5373516117715,12.6923406959792
0.014,"110",10,3,60,"REG-ON",31.6423828340474,14.2770433777499
0.118,"111",50,3,60,"REG-ON",38.1009984172269,16.4142197358697
0.224,"112",200,3,60,"REG-ON",39.7607398281798,17.4928540215333
0,"113",2,4,60,"REG-ON",23.8068311026386,10.9177066257761
0,"114",10,4,60,"REG-ON",25.1572089116746,11.529410510965
0.009,"115",50,4,60,"REG-ON",30.0655727101119,14.1015224671542
0.038,"116",200,4,60,"REG-ON",33.3293788815227,15.9253134298995
0,"117",2,5,60,"REG-ON",19.6136104728254,8.50405370587046
0,"118",10,5,60,"REG-ON",20.756991770306,9.01929322744052
0,"119",50,5,60,"REG-ON",23.7917234900805,10.897855962621
