"survive","param.index","mutant.effect","drug.outsideConcentration.MULT","drug.off","extinction.time","extinction.time.sd","num.reps","cell.type"
0.894,"102",10,1,30,23.3724176659818,11.3222138879121,1000,"REG-OFF"
0.916,"103",50,1,30,25.0603853634207,11.9563203124982,1000,"REG-OFF"
0.922,"104",200,1,30,22.3537442239777,10.03616054622,1000,"REG-OFF"
0.48,"105",2,2,30,28.5575290475258,12.6842314190335,1000,"REG-OFF"
0.549,"106",10,2,30,28.28678845289,13.8510540503354,1000,"REG-OFF"
0.643,"107",50,2,30,26.1837555027803,12.0756480593604,1000,"REG-OFF"
0.676,"108",200,2,30,25.9543424012574,12.2615868558674,1000,"REG-OFF"
0.18,"109",2,3,30,27.0367364011706,13.196546908711,1000,"REG-OFF"
0.223,"110",10,3,30,27.3187968133826,12.8280422409286,1000,"REG-OFF"
0.348,"111",50,3,30,26.2462009781279,12.6787743692786,1000,"REG-OFF"
0.379,"112",200,3,30,25.8970115199859,12.7058078483987,1000,"REG-OFF"
0.046,"113",2,4,30,23.9282696394747,12.4471831837309,1000,"REG-OFF"
0.111,"114",10,4,30,23.8075963122033,12.5567565516979,1000,"REG-OFF"
0.18,"115",50,4,30,24.493856167503,12.2734484607616,1000,"REG-OFF"
0.252,"116",200,4,30,24.3180996169803,11.8612658386487,1000,"REG-OFF"
0.013,"117",2,5,30,21.1959938064459,10.5867452357346,1000,"REG-OFF"
0.055,"118",10,5,30,22.138667614967,11.2123416265168,1000,"REG-OFF"
0.114,"119",50,5,30,22.0115664641498,11.370363129528,1000,"REG-OFF"
0.142,"120",200,5,30,23.0136113278115,11.5592575505512,1000,"REG-OFF"
0.738,"121",2,1,60,42.3519347464363,20.7388306105221,1000,"REG-OFF"
0.766,"122",10,1,60,41.1632642325165,20.3493952928905,1000,"REG-OFF"
0.85,"123",50,1,60,39.4269158231792,19.7504906640794,1000,"REG-OFF"
0.866,"124",200,1,60,42.2301588379701,21.7026742238297,1000,"REG-OFF"
0.115,"125",2,2,60,41.1279079345942,19.924030882118,1000,"REG-OFF"
0.223,"126",10,2,60,39.9122434493983,19.7911794760248,1000,"REG-OFF"
0.34,"127",50,2,60,38.3540697053924,18.9492770870589,1000,"REG-OFF"
0.405,"128",200,2,60,39.2418274615309,18.8228838615766,1000,"REG-OFF"
0.012,"129",2,3,60,31.1231302824984,15.9358824710815,1000,"REG-OFF"
0.038,"130",10,3,60,32.119668312427,16.5492989529205,1000,"REG-OFF"
0.122,"131",50,3,60,33.8984426462275,17.5664717161426,1000,"REG-OFF"
0.146,"132",200,3,60,34.0971262480431,17.6579953613182,1000,"REG-OFF"
0.003,"133",2,4,60,25.5820637088131,12.6756589210058,1000,"REG-OFF"
0.006,"134",10,4,60,26.8906148255854,14.6995136821519,1000,"REG-OFF"
0.033,"135",50,4,60,28.6272093174087,15.8661271650337,1000,"REG-OFF"
