"param.index","mutant.effect","drug.outsideConcentration.MULT","rate","t.end","cell.type"
"15",50,0.199526231496888,0.00939402422203599,"60","REG-ON"
"15",50,0.199526231496888,0.0108024934488044,"120","REG-ON"
"15",50,0.199526231496888,0.0112596886363901,"180","REG-ON"
"16",200,0.199526231496888,0.00942128872135467,"60","REG-ON"
"16",200,0.199526231496888,0.0108571761180508,"120","REG-ON"
"16",200,0.199526231496888,0.0113285680431642,"180","REG-ON"
"17",2,0.251188643150958,0.00917547202628189,"60","REG-ON"
"17",2,0.251188643150958,0.0103890718761803,"120","REG-ON"
"17",2,0.251188643150958,0.0107244751645432,"180","REG-ON"
"18",10,0.251188643150958,0.00923777787006835,"60","REG-ON"
"18",10,0.251188643150958,0.0105111047749043,"120","REG-ON"
"18",10,0.251188643150958,0.0108868839708799,"180","REG-ON"
"19",50,0.251188643150958,0.00932674251111516,"60","REG-ON"
"19",50,0.251188643150958,0.010690324999765,"120","REG-ON"
"19",50,0.251188643150958,0.0111236311198888,"180","REG-ON"
"20",200,0.251188643150958,0.00937330325100096,"60","REG-ON"
"20",200,0.251188643150958,0.0107764055406589,"120","REG-ON"
"20",200,0.251188643150958,0.0112286520853836,"180","REG-ON"
"21",2,0.316227766016838,0.00899506687065274,"60","REG-ON"
"21",2,0.316227766016838,0.01004968132019,"120","REG-ON"
"21",2,0.316227766016838,0.0103001049399946,"180","REG-ON"
"22",10,0.316227766016838,0.00907711698361121,"60","REG-ON"
"22",10,0.316227766016838,0.0102439703461207,"120","REG-ON"
"22",10,0.316227766016838,0.0105586103779293,"180","REG-ON"
"23",50,0.316227766016838,0.00922495369029302,"60","REG-ON"
"23",50,0.316227766016838,0.0105214783583436,"120","REG-ON"
"23",50,0.316227766016838,0.0109178767953281,"180","REG-ON"
"24",200,0.316227766016838,0.00929221666526772,"60","REG-ON"
"24",200,0.316227766016838,0.0106476243738548,"120","REG-ON"
"24",200,0.316227766016838,0.0110762531884904,"180","REG-ON"
"25",2,0.398107170553497,0.00872466102655622,"60","REG-ON"
"25",2,0.398107170553497,0.00955341735725312,"120","REG-ON"
"25",2,0.398107170553497,0.00967238912307619,"180","REG-ON"
"26",10,0.398107170553497,0.00886472816550757,"60","REG-ON"
"26",10,0.398107170553497,0.00983784262914672,"120","REG-ON"
"26",10,0.398107170553497,0.0100531127890287,"180","REG-ON"
"27",50,0.398107170553497,0.00907843236499093,"60","REG-ON"
"27",50,0.398107170553497,0.0102656516005107,"120","REG-ON"
"27",50,0.398107170553497,0.0106061583685326,"180","REG-ON"
"28",200,0.398107170553497,0.00918586528642997,"60","REG-ON"
"28",200,0.398107170553497,0.0104644726306354,"120","REG-ON"
"28",200,0.398107170553497,0.010851656905621,"180","REG-ON"
"29",2,0.501187233627272,0.00831206269981001,"60","REG-ON"
"29",2,0.501187233627272,0.00879307702922852,"120","REG-ON"
"29",2,0.501187233627272,0.00871835027782844,"180","REG-ON"
