"sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT","cell.type"
10,14998,"12",200,0.158489319246111,"REG-ON"
20,15004,"12",200,0.158489319246111,"REG-ON"
30,29922,"12",200,0.158489319246111,"REG-ON"
40,29848,"12",200,0.158489319246111,"REG-ON"
50,57830,"12",200,0.158489319246111,"REG-ON"
60,59294,"12",200,0.158489319246111,"REG-ON"
70,77135,"12",200,0.158489319246111,"REG-ON"
80,117624,"12",200,0.158489319246111,"REG-ON"
90,119896,"12",200,0.158489319246111,"REG-ON"
100,231756,"12",200,0.158489319246111,"REG-ON"
110,232455,"12",200,0.158489319246111,"REG-ON"
120,398938,"12",200,0.158489319246111,"REG-ON"
130,460385,"12",200,0.158489319246111,"REG-ON"
140,566573,"12",200,0.158489319246111,"REG-ON"
150,910734,"12",200,0.158489319246111,"REG-ON"
160,938216,"12",200,0.158489319246111,"REG-ON"
170,1727236,"12",200,0.158489319246111,"REG-ON"
180,1804322,"12",200,0.158489319246111,"REG-ON"
0,23000,"13",2,0.199526231496888,"REG-ON"
10,22988,"13",2,0.199526231496888,"REG-ON"
20,22935,"13",2,0.199526231496888,"REG-ON"
30,45572,"13",2,0.199526231496888,"REG-ON"
40,45201,"13",2,0.199526231496888,"REG-ON"
50,86754,"13",2,0.199526231496888,"REG-ON"
60,88229,"13",2,0.199526231496888,"REG-ON"
70,113335,"13",2,0.199526231496888,"REG-ON"
80,171154,"13",2,0.199526231496888,"REG-ON"
90,172254,"13",2,0.199526231496888,"REG-ON"
100,328538,"13",2,0.199526231496888,"REG-ON"
110,325369,"13",2,0.199526231496888,"REG-ON"
120,549790,"13",2,0.199526231496888,"REG-ON"
130,626436,"13",2,0.199526231496888,"REG-ON"
140,757809,"13",2,0.199526231496888,"REG-ON"
150,1203524,"13",2,0.199526231496888,"REG-ON"
160,1221591,"13",2,0.199526231496888,"REG-ON"
170,2215032,"13",2,0.199526231496888,"REG-ON"
180,2281359,"13",2,0.199526231496888,"REG-ON"
0,20000,"14",10,0.199526231496888,"REG-ON"
10,19987,"14",10,0.199526231496888,"REG-ON"
20,19959,"14",10,0.199526231496888,"REG-ON"
30,39703,"14",10,0.199526231496888,"REG-ON"
40,39440,"14",10,0.199526231496888,"REG-ON"
50,75792,"14",10,0.199526231496888,"REG-ON"
60,77293,"14",10,0.199526231496888,"REG-ON"
70,99596,"14",10,0.199526231496888,"REG-ON"
80,151075,"14",10,0.199526231496888,"REG-ON"
90,152519,"14",10,0.199526231496888,"REG-ON"
100,291906,"14",10,0.199526231496888,"REG-ON"
110,290147,"14",10,0.199526231496888,"REG-ON"
120,491772,"14",10,0.199526231496888,"REG-ON"
130,563239,"14",10,0.199526231496888,"REG-ON"
140,684172,"14",10,0.199526231496888,"REG-ON"
150,1091380,"14",10,0.199526231496888,"REG-ON"
160,1112004,"14",10,0.199526231496888,"REG-ON"
170,2023158,"14",10,0.199526231496888,"REG-ON"
180,2094083,"14",10,0.199526231496888,"REG-ON"
0,15000,"15",50,0.199526231496888,"REG-ON"
10,14996,"15",50,0.199526231496888,"REG-ON"
20,14990,"15",50,0.199526231496888,"REG-ON"
30,29867,"15",50,0.199526231496888,"REG-ON"
