"survive","param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","extinction.time","extinction.time.sd","num.reps"
0,"95",10,0.2926718,1.8,40.433183689734,9.71836391654499,1000
0,"96",0.5,0.3006431,1.9,53.067044625476,44.1020684989689,1000
0,"97",1,0.2954379,1.9,53.3380947038698,37.7606163360319,1000
0,"98",2,0.2936362,1.9,47.8842332058356,27.6830538357188,1000
0,"99",5,0.2926707,1.9,41.8363627464453,14.6323576917969,1000
0,"100",10,0.2926718,1.9,37.3492445754189,9.06753232757318,1000
0,"101",0.5,0.3006431,2,49.9528937801923,40.1920638477841,1000
0,"102",1,0.2954379,2,47.5842408939809,31.4395459697231,1000
0,"103",2,0.2936362,2,44.3147496537162,24.8799055384919,1000
0,"104",5,0.2926707,2,39.7821839679111,14.0600833179023,1000
0,"105",10,0.2926718,2,35.0466245160007,9.31402228194432,1000
