"parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type","rate"
"33",5,0.3003958,0.398107170553497,"WT",0.00959468511122765
"34",10,0.2956701,0.398107170553497,"WT",0.00960642092538917
"35",20,0.28002,0.398107170553497,"WT",0.0096055628233166
"36",1,0.349697,0.501187233627272,"WT",0.00740545034131475
"37",2,0.3185616,0.501187233627272,"WT",0.00874968057340949
"38",5,0.3003958,0.501187233627272,"WT",0.00956687613904898
"39",10,0.2956701,0.501187233627272,"WT",0.00960591053158095
"40",20,0.28002,0.501187233627272,"WT",0.00960694098844406
"41",1,0.349697,0.630957344480193,"WT",0.00679423413288327
"42",2,0.3185616,0.630957344480193,"WT",0.00824228483099361
"43",5,0.3003958,0.630957344480193,"WT",0.00947805404851101
"44",10,0.2956701,0.630957344480193,"WT",0.00960337988992195
"45",20,0.28002,0.630957344480193,"WT",0.00960565555550183
"46",1,0.349697,0.794328234724281,"WT",0.00600253521772113
"47",2,0.3185616,0.794328234724281,"WT",0.00747925970833669
"48",5,0.3003958,0.794328234724281,"WT",0.00920941199989784
"49",10,0.2956701,0.794328234724281,"WT",0.00957427480564492
"50",20,0.28002,0.794328234724281,"WT",0.00960518100452923
"51",1,0.349697,1,"WT",0.00494912686637732
"52",2,0.3185616,1,"WT",0.00625044761285701
"53",5,0.3003958,1,"WT",0.00838173230781479
"54",10,0.2956701,1,"WT",0.00928957338188009
"55",20,0.28002,1,"WT",0.00951909359214194
"56",1,0.349697,1.25892541179417,"WT",0.00354053186440272
"57",2,0.3185616,1.25892541179417,"WT",0.00437106336555074
"58",5,0.3003958,1.25892541179417,"WT",0.00605703943944871
"59",10,0.2956701,1.25892541179417,"WT",0.0068975207609525
"60",20,0.28002,1.25892541179417,"WT",0.00474158722979495
"61",1,0.349697,1.58489319246111,"WT",0.00159749529714555
"62",2,0.3185616,1.58489319246111,"WT",0.00152420755877129
"63",5,0.3003958,1.58489319246111,"WT",0.000341348224606186
"64",10,0.2956701,1.58489319246111,"WT",-0.00376949325412024
"65",20,0.28002,1.58489319246111,"WT",-0.0136131303764748
"66",1,0.349697,1.99526231496888,"WT",-0.00115561421154416
"67",2,0.3185616,1.99526231496888,"WT",-0.00276152226819096
"68",5,0.3003958,1.99526231496888,"WT",-0.00991808611987234
"69",10,0.2956701,1.99526231496888,"WT",-0.020536813177554
"70",20,0.28002,1.99526231496888,"WT",-0.0310985249224962
"71",1,0.349697,2.51188643150958,"WT",-0.0051347974147608
"72",2,0.3185616,2.51188643150958,"WT",-0.00904368805974437
"73",5,0.3003958,2.51188643150958,"WT",-0.0226853980778533
"74",10,0.2956701,2.51188643150958,"WT",-0.0343583123541871
