"sample.time","num.cells","parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type"
60,223909,"46",1,0.349697,0.794328234724281,"WT"
0,100000,"47",2,0.3185616,0.794328234724281,"WT"
10,99571,"47",2,0.3185616,0.794328234724281,"WT"
20,98337,"47",2,0.3185616,0.794328234724281,"WT"
30,184612,"47",2,0.3185616,0.794328234724281,"WT"
40,171382,"47",2,0.3185616,0.794328234724281,"WT"
50,308693,"47",2,0.3185616,0.794328234724281,"WT"
60,275453,"47",2,0.3185616,0.794328234724281,"WT"
0,100000,"48",5,0.3003958,0.794328234724281,"WT"
10,99999,"48",5,0.3003958,0.794328234724281,"WT"
20,101330,"48",5,0.3003958,0.794328234724281,"WT"
30,198675,"48",5,0.3003958,0.794328234724281,"WT"
40,196289,"48",5,0.3003958,0.794328234724281,"WT"
50,381416,"48",5,0.3003958,0.794328234724281,"WT"
60,368141,"48",5,0.3003958,0.794328234724281,"WT"
0,100000,"49",10,0.2956701,0.794328234724281,"WT"
10,100000,"49",10,0.2956701,0.794328234724281,"WT"
20,101313,"49",10,0.2956701,0.794328234724281,"WT"
30,199984,"49",10,0.2956701,0.794328234724281,"WT"
40,200033,"49",10,0.2956701,0.794328234724281,"WT"
50,398488,"49",10,0.2956701,0.794328234724281,"WT"
60,396855,"49",10,0.2956701,0.794328234724281,"WT"
0,100000,"50",20,0.28002,0.794328234724281,"WT"
10,100000,"50",20,0.28002,0.794328234724281,"WT"
20,101287,"50",20,0.28002,0.794328234724281,"WT"
30,200000,"50",20,0.28002,0.794328234724281,"WT"
40,200158,"50",20,0.28002,0.794328234724281,"WT"
50,399777,"50",20,0.28002,0.794328234724281,"WT"
60,399935,"50",20,0.28002,0.794328234724281,"WT"
0,100000,"51",1,0.349697,1,"WT"
10,97177,"51",1,0.349697,1,"WT"
20,90993,"51",1,0.349697,1,"WT"
30,159417,"51",1,0.349697,1,"WT"
40,137382,"51",1,0.349697,1,"WT"
50,227981,"51",1,0.349697,1,"WT"
60,188315,"51",1,0.349697,1,"WT"
0,100000,"52",2,0.3185616,1,"WT"
10,99291,"52",2,0.3185616,1,"WT"
20,96691,"52",2,0.3185616,1,"WT"
30,176005,"52",2,0.3185616,1,"WT"
40,156358,"52",2,0.3185616,1,"WT"
50,265739,"52",2,0.3185616,1,"WT"
60,222578,"52",2,0.3185616,1,"WT"
0,100000,"53",5,0.3003958,1,"WT"
10,99988,"53",5,0.3003958,1,"WT"
20,100936,"53",5,0.3003958,1,"WT"
30,196194,"53",5,0.3003958,1,"WT"
40,188517,"53",5,0.3003958,1,"WT"
50,345660,"53",5,0.3003958,1,"WT"
60,309817,"53",5,0.3003958,1,"WT"
0,100000,"54",10,0.2956701,1,"WT"
10,100000,"54",10,0.2956701,1,"WT"
20,101241,"54",10,0.2956701,1,"WT"
30,199772,"54",10,0.2956701,1,"WT"
40,198729,"54",10,0.2956701,1,"WT"
50,386839,"54",10,0.2956701,1,"WT"
60,370183,"54",10,0.2956701,1,"WT"
0,100000,"55",20,0.28002,1,"WT"
10,100000,"55",20,0.28002,1,"WT"
20,101247,"55",20,0.28002,1,"WT"
30,199998,"55",20,0.28002,1,"WT"
40,200087,"55",20,0.28002,1,"WT"
50,397194,"55",20,0.28002,1,"WT"
60,390338,"55",20,0.28002,1,"WT"
