"sample.time","num.cells","parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type"
60,311302,"13",1e-06,0.9332099,0.199526231496888,"WT"
0,100000,"14",1,0.9323611,0.199526231496888,"WT"
10,99083,"14",1,0.9323611,0.199526231496888,"WT"
20,97660,"14",1,0.9323611,0.199526231496888,"WT"
30,185974,"14",1,0.9323611,0.199526231496888,"WT"
40,179056,"14",1,0.9323611,0.199526231496888,"WT"
50,342424,"14",1,0.9323611,0.199526231496888,"WT"
60,329047,"14",1,0.9323611,0.199526231496888,"WT"
0,100000,"15",2,0.9311702,0.199526231496888,"WT"
10,99507,"15",2,0.9311702,0.199526231496888,"WT"
20,98907,"15",2,0.9311702,0.199526231496888,"WT"
30,189831,"15",2,0.9311702,0.199526231496888,"WT"
40,184230,"15",2,0.9311702,0.199526231496888,"WT"
50,355269,"15",2,0.9311702,0.199526231496888,"WT"
60,344355,"15",2,0.9311702,0.199526231496888,"WT"
0,100000,"16",3,0.9290991,0.199526231496888,"WT"
10,99774,"16",3,0.9290991,0.199526231496888,"WT"
20,99789,"16",3,0.9290991,0.199526231496888,"WT"
30,192774,"16",3,0.9290991,0.199526231496888,"WT"
40,188259,"16",3,0.9290991,0.199526231496888,"WT"
50,365545,"16",3,0.9290991,0.199526231496888,"WT"
60,356493,"16",3,0.9290991,0.199526231496888,"WT"
0,100000,"17",1e-06,0.9332099,0.251188643150958,"WT"
10,97837,"17",1e-06,0.9332099,0.251188643150958,"WT"
20,94704,"17",1e-06,0.9332099,0.251188643150958,"WT"
30,176735,"17",1e-06,0.9332099,0.251188643150958,"WT"
40,166863,"17",1e-06,0.9332099,0.251188643150958,"WT"
50,312698,"17",1e-06,0.9332099,0.251188643150958,"WT"
60,295003,"17",1e-06,0.9332099,0.251188643150958,"WT"
0,100000,"18",1,0.9323611,0.251188643150958,"WT"
10,98753,"18",1,0.9323611,0.251188643150958,"WT"
20,96467,"18",1,0.9323611,0.251188643150958,"WT"
30,181748,"18",1,0.9323611,0.251188643150958,"WT"
40,173011,"18",1,0.9323611,0.251188643150958,"WT"
50,327140,"18",1,0.9323611,0.251188643150958,"WT"
60,311340,"18",1,0.9323611,0.251188643150958,"WT"
0,100000,"19",2,0.9311702,0.251188643150958,"WT"
10,99331,"19",2,0.9311702,0.251188643150958,"WT"
20,97887,"19",2,0.9311702,0.251188643150958,"WT"
30,185943,"19",2,0.9311702,0.251188643150958,"WT"
40,178645,"19",2,0.9311702,0.251188643150958,"WT"
50,340583,"19",2,0.9311702,0.251188643150958,"WT"
60,326568,"19",2,0.9311702,0.251188643150958,"WT"
0,100000,"20",3,0.9290991,0.251188643150958,"WT"
10,99599,"20",3,0.9290991,0.251188643150958,"WT"
20,98755,"20",3,0.9290991,0.251188643150958,"WT"
30,188460,"20",3,0.9290991,0.251188643150958,"WT"
40,182089,"20",3,0.9290991,0.251188643150958,"WT"
50,349507,"20",3,0.9290991,0.251188643150958,"WT"
60,337174,"20",3,0.9290991,0.251188643150958,"WT"
0,100000,"21",1e-06,0.9332099,0.316227766016838,"WT"
10,97441,"21",1e-06,0.9332099,0.316227766016838,"WT"
20,93117,"21",1e-06,0.9332099,0.316227766016838,"WT"
30,171702,"21",1e-06,0.9332099,0.316227766016838,"WT"
40,160003,"21",1e-06,0.9332099,0.316227766016838,"WT"
50,295699,"21",1e-06,0.9332099,0.316227766016838,"WT"
60,275363,"21",1e-06,0.9332099,0.316227766016838,"WT"
0,100000,"22",1,0.9323611,0.316227766016838,"WT"
10,98380,"22",1,0.9323611,0.316227766016838,"WT"
20,94990,"22",1,0.9323611,0.316227766016838,"WT"
30,176513,"22",1,0.9323611,0.316227766016838,"WT"
40,165793,"22",1,0.9323611,0.316227766016838,"WT"
50,309270,"22",1,0.9323611,0.316227766016838,"WT"
60,290425,"22",1,0.9323611,0.316227766016838,"WT"
0,100000,"23",2,0.9311702,0.316227766016838,"WT"
10,98947,"23",2,0.9311702,0.316227766016838,"WT"
20,96295,"23",2,0.9311702,0.316227766016838,"WT"
30,179998,"23",2,0.9311702,0.316227766016838,"WT"
40,170381,"23",2,0.9311702,0.316227766016838,"WT"
50,320211,"23",2,0.9311702,0.316227766016838,"WT"
60,303201,"23",2,0.9311702,0.316227766016838,"WT"
0,100000,"24",3,0.9290991,0.316227766016838,"WT"
10,99386,"24",3,0.9290991,0.316227766016838,"WT"
20,97288,"24",3,0.9290991,0.316227766016838,"WT"
30,183390,"24",3,0.9290991,0.316227766016838,"WT"
40,174825,"24",3,0.9290991,0.316227766016838,"WT"
50,330367,"24",3,0.9290991,0.316227766016838,"WT"
60,314552,"24",3,0.9290991,0.316227766016838,"WT"
0,100000,"25",1e-06,0.9332099,0.398107170553497,"WT"
10,97025,"25",1e-06,0.9332099,0.398107170553497,"WT"
20,91352,"25",1e-06,0.9332099,0.398107170553497,"WT"
30,165497,"25",1e-06,0.9332099,0.398107170553497,"WT"
40,151904,"25",1e-06,0.9332099,0.398107170553497,"WT"
50,276146,"25",1e-06,0.9332099,0.398107170553497,"WT"
60,253442,"25",1e-06,0.9332099,0.398107170553497,"WT"
0,100000,"26",1,0.9323611,0.398107170553497,"WT"
10,97792,"26",1,0.9323611,0.398107170553497,"WT"
20,92952,"26",1,0.9323611,0.398107170553497,"WT"
30,169659,"26",1,0.9323611,0.398107170553497,"WT"
40,156679,"26",1,0.9323611,0.398107170553497,"WT"
50,286764,"26",1,0.9323611,0.398107170553497,"WT"
60,265049,"26",1,0.9323611,0.398107170553497,"WT"
0,100000,"27",2,0.9311702,0.398107170553497,"WT"
10,98417,"27",2,0.9311702,0.398107170553497,"WT"
20,94146,"27",2,0.9311702,0.398107170553497,"WT"
30,173077,"27",2,0.9311702,0.398107170553497,"WT"
40,161167,"27",2,0.9311702,0.398107170553497,"WT"
50,297172,"27",2,0.9311702,0.398107170553497,"WT"
60,277009,"27",2,0.9311702,0.398107170553497,"WT"
0,100000,"28",3,0.9290991,0.398107170553497,"WT"
10,98899,"28",3,0.9290991,0.398107170553497,"WT"
20,95199,"28",3,0.9290991,0.398107170553497,"WT"
30,175836,"28",3,0.9290991,0.398107170553497,"WT"
40,164617,"28",3,0.9290991,0.398107170553497,"WT"
50,305205,"28",3,0.9290991,0.398107170553497,"WT"
60,285841,"28",3,0.9290991,0.398107170553497,"WT"
0,100000,"29",1e-06,0.9332099,0.501187233627272,"WT"
10,96166,"29",1e-06,0.9332099,0.501187233627272,"WT"
20,88731,"29",1e-06,0.9332099,0.501187233627272,"WT"
30,157723,"29",1e-06,0.9332099,0.501187233627272,"WT"
40,142147,"29",1e-06,0.9332099,0.501187233627272,"WT"
50,252728,"29",1e-06,0.9332099,0.501187233627272,"WT"
60,227689,"29",1e-06,0.9332099,0.501187233627272,"WT"
0,100000,"30",1,0.9323611,0.501187233627272,"WT"
10,97042,"30",1,0.9323611,0.501187233627272,"WT"
20,90000,"30",1,0.9323611,0.501187233627272,"WT"
30,160703,"30",1,0.9323611,0.501187233627272,"WT"
40,145730,"30",1,0.9323611,0.501187233627272,"WT"
50,260778,"30",1,0.9323611,0.501187233627272,"WT"
60,236563,"30",1,0.9323611,0.501187233627272,"WT"
0,100000,"31",2,0.9311702,0.501187233627272,"WT"
