"parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type","rate"
"63",3,0.08567227,1.58489319246111,"WT",0.00142742606648687
"64",4,0.08319832,1.58489319246111,"WT",0.000638063744294683
"65",5,0.0822,1.58489319246111,"WT",-0.000159990652546307
"66",1,0.1043,1.99526231496888,"WT",0.000168810137525683
"67",2,0.08951271,1.99526231496888,"WT",-0.00173900393719365
"68",3,0.08567227,1.99526231496888,"WT",-0.00401769336276528
"69",4,0.08319832,1.99526231496888,"WT",-0.0068323947308581
"70",5,0.0822,1.99526231496888,"WT",-0.00915902014864769
"71",1,0.1043,2.51188643150958,"WT",-0.00224270165851774
"72",2,0.08951271,2.51188643150958,"WT",-0.00674746385484215
"73",3,0.08567227,2.51188643150958,"WT",-0.0120286387975608
"74",4,0.08319832,2.51188643150958,"WT",-0.0178280391974213
"75",5,0.0822,2.51188643150958,"WT",-0.0225842519368113
"76",1,0.1043,3.16227766016838,"WT",-0.00509845837309277
"77",2,0.08951271,3.16227766016838,"WT",-0.0132048499138825
"78",3,0.08567227,3.16227766016838,"WT",-0.0222161050856884
"79",4,0.08319832,3.16227766016838,"WT",-0.0318907461200509
"80",5,0.0822,3.16227766016838,"WT",-0.0382207184042904
"81",1,0.1043,3.98107170553497,"WT",-0.00873488599425055
"82",2,0.08951271,3.98107170553497,"WT",-0.0212090922438178
"83",3,0.08567227,3.98107170553497,"WT",-0.0346420792830554
"84",4,0.08319832,3.98107170553497,"WT",-0.0452347251018499
"85",5,0.0822,3.98107170553497,"WT",-0.0535754276638195
"86",1,0.1043,5.01187233627272,"WT",-0.012986285493772
"87",2,0.08951271,5.01187233627272,"WT",-0.0301302617976528
"88",3,0.08567227,5.01187233627272,"WT",-0.0466831831150148
"89",4,0.08319832,5.01187233627272,"WT",-0.0584538422605788
"90",5,0.0822,5.01187233627272,"WT",-0.0675445351346622
"91",1,0.1043,6.30957344480193,"WT",-0.0182998106893856
