"cell.type","t.end","psi90","psi99","psiZMIC"
"REG-BURST","240",5.21502178370079,6.72693392159137,6.91584744392486
"REG-BURST","250",5.28139381369684,6.81639670811492,7.00818660490451
"REG-BURST","260",5.35388307771662,6.91437001463565,7.10933001357518
"REG-BURST","270",5.43085517524545,7.01705710347258,7.21474256061659
"REG-BURST","280",5.47599036311992,7.0790938735883,7.27800384423492
"REG-BURST","290",5.55499927592798,7.18272146274205,7.38297353687225
"REG-BURST","300",5.59638739770663,7.23676933457172,7.43748481561996
"STRUCT-BIND","30",2.29303996606848,2.68814110256378,2.73346302367879
"STRUCT-BIND","40",2.04624816510854,2.39259342832625,2.43141522470107
"STRUCT-BIND","50",2.33794705840956,2.73030039521306,2.77950903261566
"STRUCT-BIND","60",2.29320534450127,2.73105889951608,2.78810022376863
"STRUCT-BIND","70",2.30818959996976,2.82977924720771,2.8978464741584
"STRUCT-BIND","80",2.49492382034008,3.16404637748942,3.24477735814518
"STRUCT-BIND","90",2.54434541346729,3.29817446296345,3.38852251617819
"STRUCT-BIND","100",2.91608083578288,3.80887028906665,3.91590698989523
"STRUCT-BIND","110",3.09464976829499,4.05277535747595,4.15471952322113
"STRUCT-BIND","120",3.42877260215823,4.42215766406111,4.5491412762274
"STRUCT-BIND","130",3.66138022345168,4.72703403827514,4.88756928056853
"STRUCT-BIND","140",3.82608684169615,4.96826890331887,5.12491542847767
"STRUCT-BIND","150",4.05186452235323,5.28290648135113,5.43007703928474
"STRUCT-BIND","160",4.14165082774204,5.41300343933557,5.56068765101301
"STRUCT-BIND","170",4.32713782016958,5.66935871643565,5.82133946815489
"STRUCT-BIND","180",4.4240644999314,5.80108305595216,5.95706191821719
"STRUCT-BIND","190",4.56463189906302,5.97328235185068,6.13517859255216
"STRUCT-BIND","200",4.69628588896467,6.12196603854612,6.29078907448159
"STRUCT-BIND","210",4.78386841806844,6.22026222354388,6.39388483025535
"STRUCT-BIND","220",4.93667782745829,6.38466669524281,6.56358301694269
"STRUCT-BIND","230",5.00695854952149,6.46675491312064,6.64733203664031
"STRUCT-BIND","240",5.1324843483667,6.61254457587559,6.79450296883158
"STRUCT-BIND","250",5.20575488012612,6.70373446919897,6.88606769389254
"STRUCT-BIND","260",5.28404642667563,6.7996307953014,6.98221257302859
"STRUCT-BIND","270",5.36429896336965,6.89896541568667,7.08199247508933
"STRUCT-BIND","280",5.41206412694848,6.95876798741861,7.14248537127685
"STRUCT-BIND","290",5.49338310512038,7.0562287806791,7.24205055273101
"STRUCT-BIND","300",5.53621302049687,7.10849714548093,7.2960016680046
"STRUCT-CAT","30",1.75549521037837,2.01098111378421,2.04036939193757
"STRUCT-CAT","40",1.51562194873596,1.71563383170953,1.7363625116309
"STRUCT-CAT","50",1.56436361454926,1.7181603209032,1.73489903141795
"STRUCT-CAT","60",1.43217391859082,1.57032654832262,1.58519641411817
"STRUCT-CAT","70",1.33526491242142,1.45777088833125,1.47137976297323
